title,rating,body,date
Magic kitchen appliance,5.0,"Your browser does not support HTML5 video.


   To  be honest I didn't know air fryers exist, until my mother had a samosa cooked in an air fryer at her friends house. She liked the oil free samosa and that's when we decided to buy it too. Researched it on the internet and found this one by American Micronics to be very good. We didn't want to spend big on the brands like Philips cause we didn't know if we would develop the taste for oil free food/snacks.It arrived in a very secure packaging, we just unboxed and kept it in the kitchen. It is big in size compared to the pics. I didn't imagine it to be this big, it requires good amount of space, may be how much an oven would require approximately.The fryer doesn't make noise when its on and there should be a decent gap from all 4 sides and top cause the fryer release a very hot air and intakes air from the top. Over all the built quality is very good. The pan and base inside have a very good coating, everything that drips from the pan gets collected in the base and its very easy to remove those stains. Always use scotchbrite yellow soft sponge to clean the pan and base, anything hard and you will scratch the coating.We made fryums, potato smaosa's, spring rolls, baked fish, chicken and everything turned out better than what we expected. Very little oil was used, as good as no oil and everything was very well cooked and crisp from the outside and moist and soft on the inside.You can message American Micronics on whatsapp (find the number in the product description) and ask them for the recipe book. The book is very helpful and they are quick to reply on whatsapp.Time taken approx to cook:Fryums- 3-4 mins, shake after 2 mins at 160 degreesFish- 2 fishes at a time, 4 mins each side at 190 degreesChicken- 4-5 medium pieces, 8-9 mins each side at 190 degreesPotato samosa- 4-5 samosa's, 4mins each side at 200 degreesSpring rolls- 4-5 rolls, 4mins each side at 180-190 degreesYou can try your own settings or alter the setting I mentioned as per your requirements of crispiness and golden color desired.Always pre-heat the fryer before cooking anything, atleast for 3mins at 180 degrees. When cooking fish, chicken it is advised to take a couple of drops of oil on fingertips and rub it on the whole fryer pan before keeping whatever you want to cook, a silicon brush would be ideal actually to apply the oil properly and evenly.",2 June 2019
Review after 2 years,1.0,"I purchased this in 2017, and have been using this once in a week till date. However the non stick coating has come off now and spare baskets are not available. It’s not great as the basket is toxic now.Basket is not available as spares in Amazon. Contacted the OEM customer care, they were prompt till to make a prompt in sharing a link for a spare, but turned deaf post that.So summary, go for this if you get a spare basket along with the new unit, or else go for something like Philips.",20 October 2019
Great buy,4.0,"After using this frier for over a month , I can say I like it. I have done potato wedges, fish, chicken legs and wings and a few more items and they came out as expected.For chicken legs - 20 mins - turn the chicken after 10 mins and spray oil , for wings - 10-15 mins , for fish 10 mins - depnds on how crispy you want the skin to be.The greatest benefit is the saving in oil as otherwise fish and potato needs to be deep fried to reach the same level as with the frier. There's not much operational issue and no complaints so far. This frier worked out cheaper than Philips and we are enjoying it quite often.I can recommended this for the health benefits as also for the convenience.",3 December 2018
Quality not great,1.0,I order3d this product and for 1 month it was working great. After which the fan stopped working. I contacted the replacement team for pick up and they told me that motor got damaged due to which fan stopped working. They replaced with new one but not sure how much that will run on longer scale.,14 March 2018
An extremely well built and useful product,5.0,"I bought this in June 2017 and am writing the review after 2 years of rigorous use. All I can say is that the airfryer has repaid it's cost to me twice over. I use this regularly with at least 10-15 uses in a month. It forms a critical component for my family's healthy eating. No issues whatsoever till now. The fryer works like a charm despite pretty rough use and abrasive manner of cleaning from our cleaners. Yes some of the non-stick coating from the lower bowl has peeled off but the basket is still going strong. I was quite apprehensive about this purchase two years back but can totally vouch for it now. I even recommended this to my in laws a year back and even their unit is going strong. Nowadays it is usually hard to come by real value for money products, especially online. This is however a real exception with excellent vfm. Go for it but follow the maintenance and washing instructions for a long life. Do not clean it like your daily use kadai and you will be good to go for a long time.",11 August 2019
Value for money,5.0,Fantastic product easily beat Philip products. I used it and the food preparation is devious,11 January 2019
No Regrets Yet,5.0,"I was confused between the Phillip's, BMS and this air fryer. While Philip's is good but only when bought from an authentic seller. I came to the conclusion after reading a lot of the negative reviews on the Philips airfryer. I did not want to bother myself with a defective piece and then having to return it to get a good product again.BMS is good and cheap but I did not want to experience the plastic smell while cooking.So I bought this one instead. I do not regret buying it for as of now. The machine is bulky but not loud. Though I must admit that I like the taste of oil fried potatoes more than air fried ones.  But it's a healthier approach and it's faster than ovens.The date today is 4th October 2019. I'll let you guys know if it breaks down before 2 years.",4 October 2019
Okeyish for daily use,3.0,"Air fryer is not bad. Well worth money? Kinda. Why?Pros :1. Easy to operate2. Big pan and basket3. The pan itself built with grill4. Detachable basketCons :1. No cooking book2. No additional grill3. Even though the wattage is high, it takes more time to cook4. The body slightly heats up5. The pan in the basket is slightly shaky6. Slightly heavy",4 April 2019
A healthy way to perfect cooking,5.0,"Just one word, KFC@home !No oil, no fuss, just paste butter or olive oil on anything and its cooked to perfection.  Just love it, and lots of space, never take anything smaller.  Its healthy cooking option for those with cholesterol.  Only con is that its barely enough for 3 so you may need to prepare in batches, but still 5 stars because what it does, it does well.",3 April 2018
A must-have for an electric kitchen,5.0,"I am reviewing after 1 years and 2 months and the device works trouble free after daily use. But you have to gather a lot of experience about what can be done in this and what cannot and the timing after a lot of trial and error. Although I have a fully-equipped kitchen I do not have gas. It is difficult to deep-fry in flat-bottom induction-compatible vessels, this is where this device comes as a solution. It can make excellent french fries, papad (both roasted and fries) and samosas.Points to note:1. All vegetables cannot be fried here with equally satisfactory results, you have to try and see. Potatoes, banana chips are ok while potol (parwal) or brinjal does not give satisfactory results. I brush a little oil alongwith salt for a deep fry and without oil for a bake. But it a bit more time than deep frying, but takes much less oil while making it equally crispy and lesser chance of burning.2. Cakes can be baked if oven doesn't work.3. Puri or other very high heat deep fries cannot be made.4. For batter fry items I shallow fry in oil a bit to harden the batter and then put in this for the rest of the frying. It can hold more items than a typical frying pan. I reguarly batter fry different vegetables like eggplant, fish eggs, spinach, jute leaves5. Bread-crumbed items like chicken nuggets and burger patties can be made, with no or little oil.",25 May 2020
Good quality air fryer.,5.0,Have been using it for about 2 weeks now. Works well. Build quality is good. Size is huge for family of 3. Earlier I had Bella 2.2lt model. We could use it to make 5 bread rolls. This one is 3.5 lts and we were able to make 9 bread rolls in one go.,8 May 2018
"Perfect pricing , works as expected . Highly recommended",4.0,"The pricing was the iceing on the cake. Got it during Amazon sale for 5500 rs with 750 rs instant cash back . It's a steal deal when Philips is easily 30% more. A veteran user tested out the product . She has been using philips for a few yrs. The conclusion was it does everything well . Long term review will follow in a few months. First attempt was with marinated chicken cubes and result was good enough. First batch was a little overcooked but the remaining came out well. Overall satisfied. Durability will be monitored over the course of time.Update after 1 month - working fine , using to make french fries , chicken fry etc. Recommended product",21 October 2019
Good to buy,5.0,"After many research I did purchase this product with less confident...but product doesn't it job and my family enjoy cookingAdvantage : Basket size is big...but if we put more quantity it takes more timeWe tried with french fries, chicken, veg fries cake etc....it's good for health concious people's",14 March 2018
