title,rating,body,date
Service not available even in metro city like Lucknow.,1.0,Its not working after just 3 small uses.Company asking to send product to Delhi on my own risk and cost for sending & receiving back.Feeling like cheated by purchasing this product.,3 December 2019
Amazing & Beautiful,5.0,Perfecto!!,19 September 2019
"Read this review for real experience, blame me if you regret your decision.",5.0,"Hello guys,I am a gym freak and I bought this because I can't eat boiled chicken and I don't want to use oil to grill/fry my chicken and now I have been using this from 6 monthsDAILY and not even a single issue.Works like a charm. Cooks perfect grilled chicken in 12 mins. Tried French fries and it went GREAT, I re heat my tiffin in it, that's also possible and it's a oven at better priceI love it and you should buy it as there will not be any day you will not use it as it's so amazing.",7 February 2020
Need Indian cuisine  guidelines,5.0,"It is designed in western country . It suits their requirements.  But for Indian cooking a bit more experience and practice is required.  Then only we can comment.  Apart from  fries and chips,  there are some light fry items for which only experience can help.  More trial  and error.",15 October 2019
Worst,1.0,Stopped working after 5 uses ! The company is asking to send the product to delhi at my own cost. The product is so heavy if i bare the costs of the courier then whats the point of buying this product? Complete cheating! Cant even return the product. Waste of so much money!,10 April 2020
Not worth,1.0,Its absolutely  cheap product.  Not meant for efficient and effective cooking.  Too noisy. It's always better to buy branded product. Rest all are cheap copied Chinese assembled ineffective air fryer including STok.,12 December 2019
Perfect elegant value for money air fryer,4.0,"Your browser does not support HTML5 video.


   06th-June-2020 : Review after first useWith so many options for air fryer one can easily be confused while buying it.Almost all of these air fryer provide same features like max 200 degree temperature and 30 min timer but where 'stok fry by air' stands out from the rest is it's capacity of 4.0 ltr and 1500 watt power with much less price than other brands.Additionally, it provides a grill stand and a recipe book. The pan and cooking basket is easy to wash and dish washer safe.Product size is bigger than what I expected as there is no size comparison in product image description.4.0 ltr capacity is more than sufficient for a family of 4 to 6.The red color stands out and looks beautiful.STok is a local Indian home appliance brand which is the reason it's cheaper than other brands. Bought this after recommendations from a relative.Observed a lot of price change for this product as min. as Rs 5200 to Rs 6000. Finally bought this on offer for Rs 5499 with 10% instant cashback.Tried frozen french fries, tikki and nuggets with a thin coating of oil by brush and it tastes exactly like deep fried.Overall, it's a great value for money.",6 June 2020
Made in china and chinese company,1.0,Made in china. The fryer is not build sturdy and takes longer than my philips air fryer. The digital keypad is cheap build quality. No lical service center. You need to ship the faulty unit on your own expense,2 June 2020
Boss Air frier,5.0,It is a great product. The instructions are easy and the recipie booklet that comes along is great. Healthy oil less recipes. Very happy with the purchase.  Thank u Amazon,25 May 2020
Awesome product!!!,5.0,The product is running flawlessly. I like this air fryer. I have cooked some traditional Indian snacks which tend to be deep-fried and unhealthy yet tasty in this fryer and they came out to an impeccable facsimile of the deep-fried snacks.  I don't even find it necessary to brush the bottom of the container with oil so that the final goodie doesn't stick to it. It is like a blessing for the ones who are very much concerned about their healthy lives.,23 May 2020
