title,rating,body,date
Great 4.5 L Air fryer. Works nice. Looks great!,4.0,"First review : Got this a week back and so far I have extensively used to Bake a cake, Made Mathri, Buttermilk chocolate cookies, Manchurian Balls. Reheated restaurant tandoori chicken etc.The recipe is given in booklet and you need to adjust it to lower temperature with higher time for required doneness.Still trying to understand how to get the cake baked from bottom. As heat is from above. Its trial error and learning like an oven.Overall great product, at economical rate.4.5 liter size is pretty big for families of 3-4 people. No plastic smell in first usage.Got extra warranty from onsite go too for peace of mind.",3 February 2021
An emerging brand that is gonna give a tough competition,5.0,"The fryer feels premium and is working really well. I kind burnt my first batch of French Fries while experimenting tho. Please use the preset if it's available and mid way pause it and shake it a bit to get an evenly baked/fried item. The Recipe book they provide is handy 🙌🏻.Note: When you touch the Power/Pause button you gotta wait 20 seconds for it to turn off.The best part is the customer support. Very polite and answers your queries patiently. You can reach them via email or WhatsApp. As long as we don't use any abrasive material to clean it, the teflon coating doesn't come off...if you or someone mishandles it, worry not as you can reach out to them and purchase a replacement. One less thing to worry about.Get it while the prices are still low and it is a very good investment.Happy Healthy Eating : )",26 March 2021
"Nice, easy to use , make the food real fast and crispy",4.0,"It seems to be nice. It makes food really crispy ..The touch screen is easy to use.Only one drawback: there is no pause button. If you want to check the food in between, you need to press the stop button and reset all over again...",9 February 2021
Varada's Great Air Fryer  first time I am using air fryer and satisfied with this product,5.0,4.5 lit capacity Air fryer will fits the need of 4-5 family members.Its design and look is elegant and smart.Operation are easy and user friendly.Budget worthy and meets the expectations.Made pizza in air fryer and satisfied with its performancePeople who are looking for tasty and healthy can go ahead with this product .Excellent delivery and excellent product. Superb Varada.,16 March 2021
Elegant red air fryer..must buy,4.0,"Amazing product ,it's very user friendly and the red look of Air fryer is very elegant.Packaging was also good.Aloo pakora was made with only 1 tb spoon of oil 180C for 15 minutes and in between brush with oil for crispy taste.The taste was awesome and with less oil.The only thing I was missing in this.The cooking brush to oil the food.",27 March 2021
Impressive for cost,4.0,Easy to use.Long tongs with silicone ends are very useful.Hassle free touch panel .Auto offSturdy basket,3 February 2021
Varada: One of the best Air Fryer!,5.0,"This product is amazing and delivery was fast. Elegant look, impressive design and easy to use. Under 5K budget, this is one of the best air fryer with 4.5 ltr capacity and touch panel. I am using it for last 1 week and experience is awesome so far.  Fully satisfied with the purchase. Thumbs up to Varada!",4 April 2021
Must have product for people who are health conscious.,5.0,I used to go to gym so I had to eat chicken daily. I was tired of eating either over cooked or under cooked chicken breast made in pan. I thought of giving Varada Airfryer a try. Now I could eat properly cooked chicken breast. This was Cooked without oil. Everyone must try this..!,1 April 2021
We Love it!!,5.0,"The product is really good, easy to use, good quality.  Always was wanting to buy a fryer and was doubtful which one to buy.  This is really a good one in the budget.",3 April 2021
good,5.0,"Your browser does not support HTML5 video.


   good easy to use",25 February 2021
Best,3.0,Very good,2 March 2021
Good one to buy in market,5.0,Excellent purchase... Awesome,4 March 2021
Guilt free eating,4.0,"It's Good guild free eating...but a suggestion decrease the temperature levels in their pre cooking settings, cause of which food gets over rosted .",3 April 2021
Nice product,5.0,Received product ontime and in very good packed condition. I tried french fries and output was awesome. easy to operate and overall happy with it.,29 March 2021
Super product,5.0,This is an excellent product. Does all the mentioned job perfectly. Highly recommended to everyone.,3 April 2021
Great buy,4.0,Worth for money spent t,5 February 2021
Wonderful product,5.0,Excellent product,6 March 2021
Best in the range.👍🏻,5.0,Best in the range. Easy to use.,17 February 2021
Must buy!,5.0,It met our expectations and comes with a good price.,5 April 2021
Good,5.0,Good,18 March 2021
Nice Product,5.0,Its a nice Product.,22 February 2021
A good pick,5.0,"its a good one, working well. easy to use.",2 April 2021
Amazing,5.0,Amazing product and easy to use.,14 March 2021
A must addition for kitchen. So easy and convineint.,5.0,"Wonderful product. Have done the job well. Easy to use. Tried frying some veggies, baking small cakes, frying fish, pizza etc. Everything came out well. The touch panel is easy to use and good to use with presets. 4.5 litre capacity is enough for small family. A good addition to kitchen.",2 February 2021
Air Fryer with a difference but seller,4.0,"This is a fryer that is all plastic and has a non-stick pan inside. Easy to use to fry, grill and even bake.The most important feature is that it remembers the function if there is a power failure in between - so starts exactly where it stopped which is a good feature. I think this is not mentioned anywhere but good to have.If you find this review helpful, mark it below.Enjoy a healthy living!",11 February 2021
Excellent Air fryer,5.0,"We got Varada Air fryer in a day. Good fit and finish. The bowl is large and good quality metal. We have tried ""Hash browns"". Perfectly cooked with almost no oil. We have just brushed one teaspoon oil on 5 pieces. All of them have come out nice, crispy and golden brown. Recommending this product.",4 April 2021
A happy experience,5.0,"Received it today and got started, read the manual and precautions noted. Air fryed potatoes french fries style and the results were good, realized that the type of potatoes used is important to get the crispy outcome. Next, tried tandoori chicken indian masala style, result was simply awesome, succulent and just the right texture and taste, did not overcook. Here are the temp and timing: tandoori chicken as shown in the picture, temp 160 °C time 6 mins turn and 6 mins, 12 mins total. Cooling time 2 mins ... Observations: the noted say practice makes perfect sense, this is the mantra here, more practice more success. The temp and timing parameters are easy to set. However, the only way you will know whats happening inside the fryer is by checking mid way of the cooking process, having said that, the fryer is a time saver, hassle free cooking, oil free cooking, with delicious bookmark results. Overall a very happy experience indeed.",14 February 2021
Recommended,5.0,A must have for every kitchen. A+++.,3 March 2021
Looks trendy black and copper,5.0,Easy to use and it comes with heavy duty tong and recipe book.Tried french fries it came up really crispy.Go for it as an healthy option if you use less oil or zero oil,25 March 2021
Great product,5.0,Nice product at such a reasonable price..,5 April 2021
