title,rating,body,date
HIGHLY DISAPPOINTED WITH THE PRODUCT!!!,1.0,"I really wish there was a provision to award zero stars, that is the level of disappointment with the product.We had been wanting to purchase this air fryer for a long time and it has definitely not been worth the wait. Not only was handle of the air fryer broken but was also covered with scratches. Furthermore, the cardboard which was supposed to hold the fryer in place was torn in different places. This is the second time that we are receiving a defective product in just a span of two weeks. We are paying a good amount of money for the product and we deserve a product free from defects. I have ordered another 10 items on Amazon, I wonder how those are going to turn up....If this trend of defective products keep continuing, it is almost not worth purchasing from Amazon anymore.",5 September 2020
Defective products and Delivery nexus,1.0,A damaged and already used product was sent by the seller. After multiple attempts to return/exchange the product the seller has ensured that delivery team continuously fail product verification citing false reasons and didn’t pick the product. Looks like a nexus is being run around this where customers are sent defective items and then delivery team plays hand in gloves with seller. Amazon also is unable to take any action against this practice.,6 September 2020
"don't go by the product dimensions, its the box dimensions",2.0,"The specifications on amazon says product dimension is 35cm x 35 cm x 37.8 cm, however that's not the product dimension, that's the box dimension (post packaging). The product itself is very small (philips website shows the actual dimension 28.7 x 31.5 x 38.5 and capacity of basket as 28oz which google says is 0.8 liter, which is further different from what we received .. which is somewhere around 29 cm x 29 cm x 31 cm height). There is no mention of the 'liters' or volume capacity of the pan and I had gone by the product dimensions to think of it as a large unit as it was just slightly small than the Havells 6.5 liter unit. We generally trust amazon on such stuff. However, this one is super small in terms of the pricing Vs product capacity. Please beware, the product size doesn't justify the price ! Amazon really needs to pull up the seller in this case as he is giving wrong information. No complaints about amazon service, though ! They promptly took the unit back and refunded as per their policy",15 September 2020
Buy at your own risk,1.0,"Received fake product twice after replacement also happened same, philips is Korean company and made in China was written on the product and product was not same as mentioned in image.",25 June 2020
Used product delivered,1.0,A used product was delivered. We had gifted this and the pack was opened only today. Oil stains were seen and oil smell also felt.  Now it is beyond returnable period. Feel cheated,11 December 2020
Useful product but not ergonomic,3.0,"Works well as an air fryer. Very easy to clean. However, could have been more user-friendly. No pilot lamp to know whether power is on (available on some versiond, but not on this one). Very rudimentary user manual - gives no useful information at all, and the design of the timer rotary knob makes it very difficult to set time accurately.",6 December 2020
Recipe book NOT included in the package as described in the product details and its content,1.0,The RECIPE BOOK and Warranty card as mentioned in the product details were NOT included in the package.Please arrange to deliver the recipe book,23 June 2020
Defective piece,1.0,Please dont buy online. Its waste of money. I wonder what fun the seller gets by sending defective piece. The body got heated up too badly and the fan wasnt working.,28 June 2020
NOT HAPPY,2.0,"Received the product, there was no instruction manual accompanying the fryer. A skimpy printout, in a million languages, extremely brief and uninformative. I am extremely disappointed, at least a basic recipe book is a must. I had expected a better accompaniment from a reputed company, like Philips. There is no way the cord retracts, as mentioned. Am sorry that the product is non-returnable, else I would have opted for it at once. An expensive trinket for the kitchen DISAPPOINTED, TOTALLY. Am stuck with it. A total NO-NO.",24 February 2021
Get the correct instructions for proper  useage of the product.,1.0,"I am afraid I cannot give an opinion on the product as it has not been used so far. There are no clear instructions nor a brochure illustrating the proper useage of the product. I do not want to damage the product without proper instructions. This is an expensive product !I would be grateful if I can get proper instructionson for its useage. I am sure it is a very good product, but I have to  first use it. Hope I can get positive response from concerned department on my query.Thank you,Rajiv Menon",17 December 2020
No after sales service in my location,2.0,"There was no product demo online, nor did any person visit to demo the usage.It was a bad after sales service experience in my location.I tried contacting philips customer care fpr hours, but never got connected to any of their operatives.I am clueless how to use it and the fear of burning away the air frier keeps me from using the product.",28 November 2020
Think before you buy. Check other brands as well,3.0,"Demo provided by company after 8days and when used for first time, it stopped working within 15min. Logged complaint with Philips n they said can repair but denied aa new product. Logged complaint on national consumer forum n Philips replaced product in 10days.Bought on 27oct and got replacement on 28nov",2 December 2020
Looks good but no user manual or cooking guide,2.0,Package and delivery was up to mark. Thanks Amazon. There is no user manual ot cooking instructions help documents included with it. If you buy from Chroma you get the same. Manual attachment on discription page is corrupted and unable to access it.Now will have to check on you tube..will provide more feedback once I use it.,27 October 2020
Not worth the money...too much hype of electric fryer,2.0,"Its not so sophisticated...not sure why they charge so much in the name of a electric fryer. Once started there’s no button to stop or pause, even when you take out the tray the fry still runs....I hope someone would have already figured out to make an electric fryer with a small fan on top of a heating coil",19 December 2020
"Product has scratch on the teflon coating, no booklet",3.0,"Really disappointed by the Air Fryer. There was no instruction guide,  recipe booklet, warranty card, etc. Looks like a used product. Once we open the pull out container found a scratch inside over the teflon coating . Didn't expect this from a brand like Philips. Bad experience.",19 January 2021
Worst experience with Amazon. Philips had loat one customer today,1.0,Worst product received from Amazon had received airfryer in broken condition. The courier person was bad in speaking he dint helped me replacing my item thought he bought a new replaced Airfryer he took it back saying that you might have demanded it.,9 December 2020
Faulty Product Delivered,1.0,"The product should be checked before dispatch by seller weather it is in working condition as quality check. Why the faulty product delivered by such big brand. Further Amazon has removed the option of return. Customer faith has been shaken after buying branded without option of return the product , if it is faulty.",29 October 2020
Malfunctioning Fryer,1.0,"I have used air fryers before and never had this problem. The basket is not going into the air fryer. I have not even used it once properly. How am I supposed to cook anything if the basket is not locked into the fryer?Why is amazon sending so many defective products like this. Don't you guys do quality checks.Waste of 10,000. If I can give zero stars I would.",22 November 2020
Not Expected !!!,1.0,"Used item...!!Body full of scratches...inner tray rusted, full of oil stains and stinking of fried chicken.Even droplets of water found in the tray, clearly indicating someone has used...washed...and repacked the item.",31 October 2020
Handle broke om day 1,1.0,The handle broke om day 1Myblast philipsair fryer (from amazon) was amazing qualityI didn't even look for another brand even though they were cheaperTerrible qualityVery dissapointed,3 January 2021
Incomplete/ torn off Bill,1.0,Kindly forward fresh copy of bill as the previous bill is incomplete.Philips customer care are not willing to accept the incomplete bill for warranty.Kindly confirm ASAP.Kindly forward the fresh copy of bill in my mail id-  lokeshrawal. rawal@gmail.com,11 July 2020
Very bad experience about philips.,1.0,"This product is not sufficient utensils, bad references about philips customar care.This model is not up to the mark.",30 October 2020
Bad experience with damaged product and replacement,1.0,Product arrived damaged and then the circle of replacement was a mess.,13 September 2020
Damage product recieved,1.0,Recieved a damage product handle was broken have requested for replacement from last 72 hours but no response,4 September 2020
"FAKE, FRAUD & CHINA Prouduct, STICKY Base",1.0,Have an horrible experience with tandoori and tikka items. See the picture how sticky its base is. PHILIPS is an absolutely FAKE and FRAUD Company. I am thinking how to return it. Amazon only replaces but doesn't return.,30 October 2020
Will never recommend,1.0,"Very bad experience....never recomond this product,first time broken grill of exhausted, replacement done with open package and made in China.....vary much disappointed",8 October 2020
Defective product the first time,3.0,"Got a fake one the first time. Did not even come in an authentic Phillips box. Post exchange, the product came packed in a Philips box and seems authentic. Be careful when you order. Ensure it’s completely sealed and that the fryer is also neatly packed and has stickers on the product.",29 March 2021
Need instruction manual and recipe booklet,1.0,Didn't receive instruction manual and recipe booklet along with the package. Please look into it how to set up the product without instruction manual,23 October 2020
Non-receipt of the Recipe book,3.0,Very disappointed to find that Recipe book was not enclosed which is very necessary,3 November 2020
No recipe booklet,3.0,No recipe booklet. Not sure how to use. App also only has 9 recipes. Can someone help here. Buyer needs to help.,10 November 2020
Air fryer no booklet,1.0,"There is NO proper instruction booklet on exactly how to use the air fryer? Only leaflet of problem shooting, danger, warning???",23 October 2020
