title,rating,body,date
Overall Satisfactory,4.0,"Overall a good purchaseCons:-Cord length is small . Really really smallNo stop or pause mechanismOnce timer is set, it will not stopNo indication of power On or OffProsWith 1 spoon of oil, you can cook fries that too similar in taste like Mc DonaldsHealthy way of cookingWhile cooking, kitchen fill with the fragrance of food",26 June 2020
Super fast delivery without recipe book 😬,4.0,"The product arrived within 24hrs of placing the order. I was disappointed that there is no recipe book in the order. Further feedbacks after using the device.June 21, 2020I used the product for the first time to fry fish my favourite delicacy. I set at 200 C for 10 min after pre-heating for 3 min at 180 C. The fish was very well done with crisp exterior and was cooked well inside. I loved it. Except that the cleaning with take a while since I was unable to remove the mesh from the tray. But no big hassles. Since I liked the outcome of the cooking, I am changing the rating to 4 from 1. I was disappointed that they couldn't provide a recipe book. I have downloaded their Airfyer App which includes the recipes. Further updates later.",20 June 2020
No recipe book!!,4.0,"It is definitely easy to use n totally mess free but it Is definitely not easy to clean. My biggest complaint is that there is no recipe book with the airfryer. Didn't expect this from a company like Phillips who is a pioneer in this field .After buying a product worth 10 k ,they expect us to search for recipes online!!!",9 July 2020
"Good at what it does, no indicators / pause mechanism.",4.0,"Delivery from Amazon was great. The product itself was well packaged and arrive without a scratch.Pros- Does what it says. Cooking is great, no loss of flavor even with minimal / no oil.- Looks amazing. Sleek.- Great tech.Cons- For the price, we should have at least had an auto-pause mechanism when the basket is pulled out mid-way cooking to stir the contents.- No LED / digital indicators.- Mechanical clock does not stop ticking even if you pull the basket out / power is off.Overall a decent purchase. I have no complaints as the pros outweigh the cons (which are good-to-haves rather than must-haves)",3 March 2021
"Excellent, using it from last 4 years",5.0,"Using it from last 4 years. Bot new one for relatives.Pros:easy to useGives really good flavour as compared to other air fryers.Minimize oil consumptionDiscards excessive oilCons:Costly as compared to competitorsExperience: its really good product and we use it atleast once a week,You can cook tasty chicken, mutton, fish veggitables, kababs, cookies and most of the things that needs rosti g or frying (except Bhaji which has too much liquid)",23 October 2020
How the food went.....,5.0,"It's pretty easy to use once you figure it out. However when we tried frying french fries, it didn't come out the usual yellow-golden way, but tasted exactly as you would in a McDonald's happy meal. We tried frying fish. In the insides it tastes just ""cooked"" and not ""bursting with flavors "" as in the case of traditional frying. The crust is crispy and the insides are tender. Do not overcook such that a black layer forms on it. Its acrylamide, and is hazardous.",23 January 2021
Philips Daily Collection HD9218 Air Fryer,4.0,"Arrived on time and was well packed. This is the second Philips Air Fryer I am ordering so obviously I am happy with the product. Sad to see that the ""ON"" Indicator light has been quietly deleted from this model. Who knows why! It was a useful feature to have and a backward step on the part of Philips to remove it. Have docked them 1 star for this.",25 December 2020
Super device,5.0,"We decided to buy it to avoid oily food and it worth it! Even French fries is perfect in that, we tried already few things and it’s really good in taste, easy to use and fast as well. It’s better that oven actually.",23 November 2020
Excellent Product,5.0,"Excellent product, no oil required I luv it this is my second air fryer for my cousin as a gift. You need to buy a metal brush to clean the metal mesh, better to soke the frying pan for easy cleaning.",4 January 2021
Healthy and hassle free cooking with Airfryer is so easy,5.0,"This product is amazing, on time delivery by Amazon prime. Now we can eat everything with 90% less oil. Also it takes very less time to cook. Specially the Tandoor items we can make it with great taste. Now we can eat our favorite food without worrying about oil consumption. I definitely recommend this product to everyone who are very much concerned about healthy cooking.",12 July 2020
Yes obviously gonna help you in your kitchen..😀,5.0,"Philips is really good in launching innovative products. I would say it makes some of the kitchen works easy for my mom.. but little bit unsatisfied with the iron mesh provided with this model , even though the machine costs around 10k , iron mesh attracts so much of food and it just sticks and getting it out and cleaning it is really tough. But don't be disappointed, food you can make with it comes really tasty and u would want to eat more and more.. 😃 I got this for 6.7 k during Amazon sale.",17 November 2020
A Kitchen Essential for Every Household,5.0,"Philips Daily Collection HD9218 Air Fryer with Rapid Air Technology is a great product and essential for every modern kitchen. From making snacks to chappatis, this is one gadget that does it all. I absolutely love it and would strongly recommend it to culinary enthusiasts. Although there are other brands and cheaper models in the market, Philips holds its own and has an edge over other comparable products.",28 February 2021
High Quality Product,5.0,Pros:  Delivery Experience:  Delivered on time. Packaging was perfect and received it without any damage.  Product Quality:  Build quality of this air fryer is very high. We made French fries  which came out crispy and tasty.  Roasted chicken was also very tasty.  Ease of use:  Very easy to use and clean itCons:Philips could have given one recipe book,8 September 2020
Brilliant purchase! Highly recommended!,5.0,This is an amazing appliance in my kitchen. Fills in the gap of my thermomix when it comes to frying without oil.It's brilliant to prepare veggies for my six months old granddaughter who has just started baby led weaning. She enjoys every veggie I have prepared for her! Such a boon!❤,17 March 2021
Very happy.. Must buy,5.0,"I like this product very much and amazing services from Cloudtail.. They become my favorite seller.. If anything is coming from them I know it will be fine and in case any issue, they replace it.. Thank you.",12 January 2021
Oil less cooking,4.0,"Wonderful product by philips, easy to use to anyone, simple mode of operation and we made fry , broasts and cake with this. But company not provided accessories and user manual for all types of preparation, we need to browse and buy in online.",21 January 2021
Its quality's and durability,5.0,"When we read so many view, we get disappointed whether we order it or notBut unfortunately we order and get it.I cook so many chicken fish variety and so many other item found that its so easy and very good to handle it even my daughter also operated itThanks to Philips company for this i am a fan of it we already used other item all are excellantThree cheers to them.hip hip hurryBlack color is my favorite",16 February 2021
Excellent Product,5.0,"It’s easy to use though I find cleaning a bit tricky due to the steel jaali.Overalls excellent equipment for those who are found of no oil cooking. I have not tried much yet in cooking but my overall experience is good with french fires, potato chops and shots. Even I re heated Bhatura once and it’s as good as fresh one. Also good for precooked Naans and lacha Paratha. Over all a good equipment to have in your kitchen 🕺🏿😊",27 November 2020
Nice but noisy.,4.0,It's ok for low calorie eating but it is a bit noisy. Fish fingers turned out extremely dry but chicken nuggets were as tasty as deep fried even do I added only 2 drops of oil. Small portions but good for snacking. The instruction manual can be a little less vague.,9 December 2020
Health and smile can go hand in hand,4.0,"I have used the air fryer for a week now and below is my experience.I have been trying a lot around cooking, i have tried everything from frying.. oven.. cooker,  name it and i would have tested it.Air fryer is the first goto option when you want an easy to use appliance and get best taste out.Phillips has killed it with this model. Its an absolute delight to have such fryer around. You can twist recipes based on your needs. It is easiest appliance i have used for cooking. Fun and Health.. what else you want the fryer to do. Put the delicious food into your mouth. Lol",19 February 2021
Great product from Philips,5.0,"Compared to other Air Fryer, Philips product is robust and lasts long. Have used it since the day we received it. Great product. No issue at all.  Good value for money. We were a bit apprehensive about the product after reading reviews by other users. But found the product to be a great one. Must have if you want to have tasty and healthy food.",16 November 2020
